year,Developed world,Global,Developing world,source
1997,11,2,0,https://web.archive.org/web/20170813152654/http://www.itu.int/ITU-D/ict/statistics/ict/graphs/internet.jpg
1998,17,3,1,https://web.archive.org/web/20170813152654/http://www.itu.int/ITU-D/ict/statistics/ict/graphs/internet.jpg
1999,24,5,1,https://web.archive.org/web/20170813152654/http://www.itu.int/ITU-D/ict/statistics/ict/graphs/internet.jpg
2000,31,7,2,https://web.archive.org/web/20170813152654/http://www.itu.int/ITU-D/ict/statistics/ict/graphs/internet.jpg
2001,36,8,3,https://web.archive.org/web/20170813152654/http://www.itu.int/ITU-D/ict/statistics/ict/graphs/internet.jpg
2002,42,10,4,https://web.archive.org/web/20170813152654/http://www.itu.int/ITU-D/ict/statistics/ict/graphs/internet.jpg
2003,46,12,5,https://web.archive.org/web/20170813152654/http://www.itu.int/ITU-D/ict/statistics/ict/graphs/internet.jpg
2004,54,14,7,https://web.archive.org/web/20170813152654/http://www.itu.int/ITU-D/ict/statistics/ict/graphs/internet.jpg
2005,51.3,15.8,7.7,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2006,53.5,17.6,9.3,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2007,59.1,20.5,11.8,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2008,61.3,23.1,14.5,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2009,62.9,25.5,17.2,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2010,66.5,28.9,20.6,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2011,67.7,31.3,23.4,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2012,72,34.3,26.3,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2013,73.8,36.9,29,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2014,75.6,39.9,32.4,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2015,77.4,43.2,36.1,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2016,79.6,45.9,39,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
2017,81,48,41.3,http://www.itu.int/en/ITU-D/Statistics/Documents/statistics/2017/ITU_Key_2005-2017_ICT_data.xls
